pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
400.05,-181.61,90.0,top,R51,,,R_1206_3216Metric,23.7k,smt
428.625,-227.965,-90.0,top,R56,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.9,smt
287.02,-201.295,-90.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120,smt
423.545,-223.52,-90.0,top,R64,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
278.13,-179.63,0.0,top,R65,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
278.13,-186.055,180.0,top,R66,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
308.61,-179.705,0.0,top,R67,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
308.61,-186.055,180.0,top,R68,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
339.09,-179.638,0.0,top,R69,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
381.635,-229.87,90.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,14k,smt
339.09,-186.055,180.0,top,R70,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
369.57,-179.705,0.0,top,R71,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
369.57,-186.055,180.0,top,R72,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
247.65,-179.705,0.0,top,R73,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10k,smt
247.65,-186.055,180.0,top,R74,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
259.715,-220.98,0.0,top,R75,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,750,smt
243.205,-172.72,-90.0,top,R76,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
365.125,-172.72,-90.0,top,R77,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
334.645,-172.72,-90.0,top,R78,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
304.165,-172.72,-90.0,top,R79,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
370.205,-229.87,-90.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120,smt
273.685,-172.645,-90.0,top,R80,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5.1k,smt
426.72,-172.085,90.0,top,R81,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100k,smt
413.385,-172.085,90.0,top,R82,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100k,smt
400.13,-172.085,90.0,top,R83,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,100k,smt
257.175,-199.39,0.0,top,R84,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.9,smt
245.745,-197.485,0.0,top,R85,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120,smt
405.1,-191.135,90.0,top,R86,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120,smt
401.32,-190.5,0.0,top,R87,,,R_1206_3216Metric,210,smt
405.13,-186.69,90.0,top,R88,,,R_1206_3216Metric,23.7k,smt
401.32,-185.42,180.0,top,R89,,,R_1206_3216Metric,23.7k,smt
379.095,-229.87,-90.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1k,smt
318.77,-225.425,0.0,top,TP1,,,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,TestPoint,tht
322.58,-225.425,0.0,top,TP2,,,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,TestPoint,tht
397.51,-223.52,-90.0,top,U1,,,SOT-23-5,~,smt
310.515,-215.265,90.0,top,U2,,,LQFP-100_14x14mm_P0.5mm,~,smt
413.385,-223.52,-90.0,top,U3,,,SOT-23-5,~,smt
373.38,-229.87,-90.0,top,U4,,,SOT-23-5,~,smt
429.26,-223.52,-90.0,top,U5,,,SOT-23-5,~,smt
252.73,-198.755,0.0,top,U6,,,SOT-23-5,~,smt
309.88,-227.965,180.0,top,Y2,,,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,~,smt
