Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Product Name,Description P/N,Sim.Device,Sim.Pins,Purpose,Replacement
"R17, R25, R6, R8, R85, R86",6,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,,,,,,
"R18, R27, R87",3,210,R_1206_3216Metric,,,,smt,,,,,,,
"R22, R39, R56, R84",4,49.9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,,,,,,
R32,1,665,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,,,,,,
R35,1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,Yes,smt,,,,,,,
"R37, R75",2,750,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, small symbol",,,,,,
R38,1,1.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, small symbol",,,,,,
"R66, R68, R70, R72, R74",5,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,"Resistor, small symbol",,,,,,
R7,1,14k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,,,,,,
"R81, R82, R83",3,100k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,,,smt,"Resistor, small symbol",,,,,,
"TP1, TP2",2,TestPoint,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,,,,tht,test point,,,,,,
"U1, U3, U4, U5, U6",5,~,SOT-23-5,,,,smt,"Low-Voltage Rail-to-Rail Output Operational Amplifiers, SOT-23-5/SC-70-5",LMV321,"Low-Voltage Rail-to-Rail Output Operational Amplifiers, SOT-23-5/SC-70-5",,,,
U2,1,~,LQFP-100_14x14mm_P0.5mm,,,,smt,,APM32F405xG,uController,,,,
Y2,1,~,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,,,,smt,,X322516MOB4SI,Crystal,,,,
